ア→???→???→ソ,アラブルタケケムッソ
ア→???→???→ヌ,アーマーガアアシレーヌ
ア→???→???→ヒ,アママイココアルヒー
ア→???→???→ブ,アーボッククラブ
イ→???→???→カ,イルミーゼゼブライカ
イ→???→???→ガ,イシツブテテツノドクガ
イ→???→???→ゲ,イッカネズミミカルゲ
イ→???→???→サ,イッカネズミミガルーサ
イ→???→???→ジ,イノムームウマージ
イ→???→???→ズ,イッカネズミミミズズ
イ→???→???→ツ,イッカネズミミュウツー
イ→???→???→ネ,イワーククスネ
イ→???→???→ハ,イシツブテテツノイサハ
イ→???→???→ビ,イワパレススナヘビ
イ→???→???→ピ,イワパレススコルピ
イ→???→???→ベ,イシツブテテツノコウベ
イ→???→???→ワ,イワパレススナノケガワ
ウ→???→???→カ,ウミディグダダルマッカ
ウ→???→???→ガ,ウツボットトドゼルガ
ウ→???→???→ゴ,ウソッキーキバゴ
ウ→???→???→サ,ウソッキーキノガッサ
ウ→???→???→ゼ,ウインディイルミーゼ
ウ→???→???→ツ,ウツロイドドテッコツ
ウ→???→???→テ,ウインディイシツブテ
ウ→???→???→デ,ウツロイドドヒドイデ
ウ→???→???→ヌ,ウインディイイネイヌ
ウ→???→???→ノ,ウソハチチラチーノ
ウ→???→???→バ,ウインディイダイナキバ
ウ→???→???→フ,ウミトリオオラチフ
ウ→???→???→ヤ,ウツロイドドラメシヤ
ウ→???→???→ヨ,ウミトリオオリーニョ
エ→???→???→ダ,エテボースストリンダー
エ→???→???→ニ,エモンガガケガニ
エ→???→???→ヒ,エネココアルヒー
エ→???→???→ビ,エテボーススナヘビ
エ→???→???→ポ,エネココオリッポ
エ→???→???→モ,エンブオーオニシズクモ
エ→???→???→ヨ,エンブオーオリーニョ
エ→???→???→レ,エネココレクレー
エ→???→???→ワ,エテボーススナノケガワ
オ→???→???→エ,オラチフフェローチェ
オ→???→???→ゴ,オドシシシュバルゴ
オ→???→???→ザ,オラチフフリーザー
オ→???→???→ヌ,オリーヴァアシレーヌ
オ→???→???→ベ,オラチフフラベベ
オ→???→???→ヨ,オリーヴァアマージョ
カ→???→???→エ,カプ・テテフフェローチェ
カ→???→???→サ,カイリキーキノガッサ
カ→???→???→ニ,カイオーガガケガニ
カ→???→???→ハ,カメテテテツノイサハ
カ→???→???→ヒ,カプ・コケココアルヒー
カ→???→???→フ,カプ・コケココジョフー
カ→???→???→ブ,カミツオロチチャオブー
カ→???→???→ポ,カプ・コケココオリッポ
カ→???→???→ユ,カブルモモグリュー
カ→???→???→ヨ,カラミンゴゴニョニョ
ガ→???→???→♀,ガケガニニドラン♀
ガ→???→???→♂,ガケガニニドラン♂
ガ→???→???→カ,ガチグママーイーカ
ガ→???→???→ゴ,ガチグママグカルゴ
ガ→???→???→ゼ,ガーディイルミーゼ
ガ→???→???→ゾ,ガケガニニョロゾ
ガ→???→???→チ,ガチグママラカッチ
ガ→???→???→デ,ガチグママルヤクデ
ガ→???→???→ニ,ガチグママケンカニ
ガ→???→???→ヌ,ガーディイイネイヌ
ガ→???→???→ネ,ガチグママネネ
ガ→???→???→ハ,ガケガニニャオハ
ガ→???→???→バ,ガーディイダイナキバ
ガ→???→???→フ,ガチグママフィティフ
ガ→???→???→ブ,ガーディイオルブ
ガ→???→???→モ,ガケガニニョロモ
ガ→???→???→ヤ,ガチグママスカーニャ
ガ→???→???→ヨ,ガチグママッギョ
キ→???→???→デ,キテルグママルヤクデ
キ→???→???→ニ,キテルグママケンカニ
キ→???→???→ネ,キテルグママネネ
キ→???→???→ヒ,キノコココアルヒー
キ→???→???→ビ,キチキギススナヘビ
キ→???→???→ベ,キバゴゴンベ
キ→???→???→ロ,キレイハナナマケロ
ギ→???→???→イ,ギラティナナットレイ
ギ→???→???→カ,ギラティナナミイルカ
ギ→???→???→ガ,ギャロッププロトーガ
ギ→???→???→キ,ギラティナナゲキ
ギ→???→???→グ,ギルガルドドクロッグ
ギ→???→???→サ,ギラティナナゾノクサ
ギ→???→???→ツ,ギルガルドドテッコツ
ギ→???→???→デ,ギルガルドドヒドイデ
ギ→???→???→ト,ギルガルドドラパルト
ギ→???→???→ド,ギルガルドドードー
ギ→???→???→ボ,ギモーモジャンボ
ギ→???→???→ム,ギルガルドドゴーム
ギ→???→???→ヤ,ギルガルドドラメシヤ
ギ→???→???→ユ,ギモーモグリュー
ク→???→???→ケ,クレセリアアラブルタケ
ク→???→???→ゲ,クズモーモトトカゲ
ク→???→???→ゴ,クヌギダママグカルゴ
ク→???→???→ズ,クズモーモノズ
ク→???→???→ゼ,クレッフィイルミーゼ
ク→???→???→チ,クヌギダママラカッチ
ク→???→???→ツ,クレセリアアリゲイツ
ク→???→???→テ,クレッフィイシツブテ
ク→???→???→デ,クヌギダママルヤクデ
ク→???→???→ニ,クヌギダママケンカニ
ク→???→???→ネ,クヌギダママネネ
ク→???→???→フ,クヌギダママフィティフ
ク→???→???→ブ,クレッフィイオルブ
ク→???→???→モ,クレセリアアチャモ
ク→???→???→ヤ,クヌギダママスカーニャ
グ→???→???→ガ,グレイシアアマルルガ
グ→???→???→ク,グレイシアアーボック
グ→???→???→ケ,グレイシアアラブルタケ
グ→???→???→ゲ,グライガーガマゲロゲ
グ→???→???→コ,グレイシアアママイコ
グ→???→???→ゴ,グレンアルママグカルゴ
グ→???→???→ジ,グレイシアアマカジ
グ→???→???→ダ,グレイシアアギルダー
グ→???→???→チ,グレンアルママラカッチ
グ→???→???→ツ,グレイシアアリゲイツ
グ→???→???→ナ,グレンアルママギアナ
グ→???→???→ヌ,グレイシアアシレーヌ
グ→???→???→ネ,グレンアルママネネ
グ→???→???→ノ,グソクムシャヤルキモノ
グ→???→???→フ,グレンアルママフィティフ
グ→???→???→ボ,グレイシアアーボ
グ→???→???→モ,グレイシアアチャモ
グ→???→???→ユ,グレイシアアップリュー
グ→???→???→ロ,グラエナナマケロ
ケ→???→???→♀,ケケンカニニドラン♀
ケ→???→???→♂,ケケンカニニドラン♂
ケ→???→???→ガ,ケッキンググライガー
ケ→???→???→キ,ケンホロウウソッキー
ケ→???→???→ズ,ケムッソソウブレイズ
ケ→???→???→ゼ,ケーシィイルミーゼ
ケ→???→???→ゾ,ケケンカニニョロゾ
ケ→???→???→デ,ケロマツツンデツンデ
ケ→???→???→ヌ,ケーシィイイネイヌ
ケ→???→???→ハ,ケケンカニニャオハ
ケ→???→???→バ,ケーシィイダイナキバ
ケ→???→???→ピ,ケンタロススコルピ
ケ→???→???→ブ,ケーシィイオルブ
ケ→???→???→ボ,ケロマツツボツボ
ケ→???→???→ワ,ケンタロススナノケガワ
ゲ→???→???→ア,ゲコガシララフレシア
ゲ→???→???→ガ,ゲノセクトトドゼルガ
ゲ→???→???→ク,ゲノセクトトゲチック
ゲ→???→???→ジ,ゲコガシララグラージ
ゲ→???→???→タ,ゲコガシララッタ
ゲ→???→???→ド,ゲコガシララムパルド
ゲ→???→???→ピ,ゲノセクトトゲピー
コ→???→???→2,コオリッポポリゴン2
コ→???→???→Z,コオリッポポリゴンZ
コ→???→???→エ,コジョフーフェローチェ
コ→???→???→グ,コジョンドドクロッグ
コ→???→???→ケ,コラッタタマゲタケ
コ→???→???→ゼ,コフーライイルミーゼ
コ→???→???→ニ,コアルヒーヒバニー
コ→???→???→ヌ,コフーライイイネイヌ
コ→???→???→ビ,コータススナヘビ
コ→???→???→ピ,コータススコルピ
コ→???→???→フ,コジオオラチフ
コ→???→???→ベ,コジョフーフラベベ
コ→???→???→ボ,コラッタタネボー
コ→???→???→ポ,コオリッポポッポ
コ→???→???→ヨ,コジオオリーニョ
コ→???→???→ワ,コータススナノケガワ
ゴ→???→???→コ,ゴーリキーキノココ
ゴ→???→???→ゴ,ゴーリキーキバゴ
ゴ→???→???→サ,ゴーリキーキノガッサ
ゴ→???→???→シ,ゴニョニョヨワシ
ゴ→???→???→ジ,ゴチムムウマージ
ゴ→???→???→タ,ゴンベベトベター
ゴ→???→???→チ,ゴマゾウウソハチ
ゴ→???→???→デ,ゴローニャヤクデ
ゴ→???→???→ネ,ゴルダッククスネ
ゴ→???→???→ノ,ゴローニャヤルキモノ
ゴ→???→???→バ,ゴンベベロバー
ゴ→???→???→ビ,ゴーススナヘビ
ゴ→???→???→フ,ゴンベベイリーフ
ゴ→???→???→ブ,ゴルダッククラブ
ゴ→???→???→ユ,ゴルダッククルマユ
サ→???→???→2,サケブシッポポリゴン2
サ→???→???→Z,サケブシッポポリゴンZ
サ→???→???→ケ,サボネアアラブルタケ
サ→???→???→ゴ,サッチムシシュバルゴ
サ→???→???→ヌ,サボネアアシレーヌ
サ→???→???→ノ,サダイジャヤルキモノ
サ→???→???→ブ,サケブシッポポカブ
サ→???→???→ボ,サボネアアーボ
サ→???→???→ポ,サケブシッポポッポ
サ→???→???→ユ,サボネアアップリュー
サ→???→???→レ,サルノリリグレー
ザ→???→???→イ,ザマゼンタタツベイ
ザ→???→???→グ,ザルードドクロッグ
ザ→???→???→ケ,ザマゼンタタマゲタケ
ザ→???→???→ゲ,ザルードドククラゲ
ザ→???→???→ズ,ザルードドリュウズ
ザ→???→???→タ,ザマゼンタタマンタ
ザ→???→???→ダ,ザングースストリンダー
ザ→???→???→デ,ザルードドヒドイデ
ザ→???→???→ト,ザルードドラパルト
ザ→???→???→ド,ザルードドードー
ザ→???→???→ナ,ザングーススワンナ
ザ→???→???→ネ,ザマゼンタタブンネ
ザ→???→???→パ,ザングーススリーパー
ザ→???→???→ビ,ザングーススナヘビ
ザ→???→???→ピ,ザングーススコルピ
ザ→???→???→ボ,ザマゼンタタネボー
ザ→???→???→ム,ザルードドゴーム
ザ→???→???→メ,ザングーススバメ
ザ→???→???→ヤ,ザルードドラメシヤ
ザ→???→???→ロ,ザルードドラミドロ
ザ→???→???→ワ,ザングーススナノケガワ
シ→???→???→ゼ,シルヴァディイルミーゼ
シ→???→???→ツ,シェイミミュウツー
シ→???→???→ヌ,シルヴァディイイネイヌ
シ→???→???→ネ,シマママネネ
シ→???→???→バ,シルヴァディイダイナキバ
シ→???→???→ビ,シビシラススナヘビ
シ→???→???→ピ,シビシラススコルピ
シ→???→???→ベ,シュバルゴゴンベ
シ→???→???→モ,シキジカカブルモ
シ→???→???→ワ,シビシラススナノケガワ
ジ→???→???→ガ,ジガルデディアルガ
ジ→???→???→ケ,ジュペッタタマゲタケ
ジ→???→???→ゴ,ジグザグママグカルゴ
ジ→???→???→ジ,ジオヅムムウマージ
ジ→???→???→ノ,ジラーチチラチーノ
ジ→???→???→バ,ジャノビービブラーバ
ジ→???→???→ヒ,ジャラココアルヒー
ジ→???→???→ビ,ジーランススナヘビ
ジ→???→???→ピ,ジーランススコルピ
ジ→???→???→ブ,ジラーチチャオブー
ジ→???→???→ベ,ジャランゴゴンベ
ジ→???→???→ポ,ジャラココオリッポ
ジ→???→???→メ,ジーランススバメ
ジ→???→???→モ,ジュナイパーパモ
ジ→???→???→レ,ジャラココレクレー
ジ→???→???→ワ,ジーランススナノケガワ
ス→???→???→オ,ストリンダーダグトリオ
ス→???→???→ノ,スバメメテノ
ス→???→???→パ,スナヘビビッパ
ス→???→???→ピ,スコルピピッピ
ズ→???→???→ウ,ズピカカルボウ
ズ→???→???→コ,ズピカカプ・コケコ
ズ→???→???→ゴ,ズピカカラミンゴ
ズ→???→???→ジ,ズピカカプサイジ
ズ→???→???→ズ,ズピカカゲボウズ
ズ→???→???→ダ,ズガイドスストリンダー
ズ→???→???→チ,ズピカカミツオロチ
ズ→???→???→テ,ズピカカメテテ
ズ→???→???→パ,ズガイドススリーパー
ズ→???→???→ビ,ズガイドススナヘビ
ズ→???→???→フ,ズピカカプ・テテフ
ズ→???→???→マ,ズルッググレンアルマ
ズ→???→???→モ,ズピカカブルモ
ズ→???→???→ヤ,ズルッググソクムシャ
ズ→???→???→ヨ,ズピカカマスジョー
ズ→???→???→リ,ズピカカリキリ
ズ→???→???→レ,ズピカカプ・レヒレ
ズ→???→???→ロ,ズピカカラマネロ
ズ→???→???→ワ,ズガイドススナノケガワ
セ→???→???→ア,セゴールルギア
セ→???→???→ウ,セレビィイダイトウ
セ→???→???→ガ,セビエエモンガ
セ→???→???→キ,セグレイブブラッキー
セ→???→???→ク,セレビィイワーク
セ→???→???→ゼ,セレビィイルミーゼ
セ→???→???→テ,セレビィイシツブテ
セ→???→???→ヌ,セレビィイイネイヌ
セ→???→???→パ,セゴールルンパッパ
セ→???→???→ミ,セレビィイッカネズミ
セ→???→???→リ,セゴールルリリ
セ→???→???→ロ,セビエエネコロロ
ゼ→???→???→イ,ゼラオララクライ
ゼ→???→???→カ,ゼニガメメブキジカ
ゼ→???→???→ガ,ゼブライカカイオーガ
ゼ→???→???→グ,ゼニガメメタング
ゼ→???→???→ゲ,ゼニガメメノクラゲ
ゼ→???→???→ゴ,ゼブライカカラミンゴ
ゼ→???→???→ズ,ゼブライカカゲボウズ
ゼ→???→???→ダ,ゼルネアスストリンダー
ゼ→???→???→チ,ゼブライカカミツオロチ
ゼ→???→???→テ,ゼブライカカメテテ
ゼ→???→???→ノ,ゼニガメメテノ
ゼ→???→???→バ,ゼニガメメラルバ
ゼ→???→???→パ,ゼルネアススリーパー
ゼ→???→???→ビ,ゼルネアススナヘビ
ゼ→???→???→ピ,ゼルネアススコルピ
ゼ→???→???→フ,ゼブライカカプ・テテフ
ゼ→???→???→ム,ゼニガメメガニウム
ゼ→???→???→モ,ゼブライカカブルモ
ゼ→???→???→ヨ,ゼブライカカマスジョー
ゼ→???→???→リ,ゼブライカカリキリ
ゼ→???→???→レ,ゼブライカカプ・レヒレ
ゼ→???→???→ロ,ゼブライカカラマネロ
ゼ→???→???→ワ,ゼルネアススナノケガワ
ソ→???→???→イ,ソルロッククレッフィ
ソ→???→???→カ,ソウブレイズズピカ
ソ→???→???→グ,ソウブレイズズルッグ
ソ→???→???→シ,ソルガレオオドシシ
ソ→???→???→タ,ソルガレオオムスター
ソ→???→???→ダ,ソーナンスストリンダー
ソ→???→???→ド,ソルガレオオノンド
ソ→???→???→ネ,ソルロッククスネ
ソ→???→???→パ,ソーナンススリーパー
ソ→???→???→ビ,ソーナンススナヘビ
ソ→???→???→ピ,ソーナンススコルピ
ソ→???→???→フ,ソルガレオオラチフ
ソ→???→???→ブ,ソルロッククラブ
ソ→???→???→マ,ソルロッククヌギダマ
ソ→???→???→ム,ソルガレオオーベム
ソ→???→???→ユ,ソルロッククルマユ
ソ→???→???→ヨ,ソルガレオオリーニョ
ソ→???→???→ロ,ソルガレオオタマロ
ソ→???→???→ワ,ソーナンススナノケガワ
ゾ→???→???→オ,ゾウドウウミトリオ
ゾ→???→???→ガ,ゾロアアマルルガ
ゾ→???→???→キ,ゾウドウウソッキー
ゾ→???→???→ク,ゾロアアーボック
ゾ→???→???→グ,ゾロアアクジキング
ゾ→???→???→ケ,ゾロアアラブルタケ
ゾ→???→???→コ,ゾロアアママイコ
ゾ→???→???→ジ,ゾロアアマカジ
ゾ→???→???→タ,ゾロアアチゲータ
ゾ→???→???→チ,ゾウドウウソハチ
ゾ→???→???→ツ,ゾロアアリゲイツ
ゾ→???→???→ナ,ゾロアーククサイハナ
ゾ→???→???→ヌ,ゾロアアシレーヌ
ゾ→???→???→ネ,ゾロアーククスネ
ゾ→???→???→パ,ゾウドウウパー
ゾ→???→???→ブ,ゾロアーククラブ
ゾ→???→???→ボ,ゾロアアーボ
ゾ→???→???→ヨ,ゾロアアマージョ
タ→???→???→ガ,タマザラシシザリガー
タ→???→???→ケ,タマンタタマゲタケ
タ→???→???→ジ,タマンチュララグラージ
タ→???→???→ズ,タマザラシシャワーズ
タ→???→???→ゼ,タツベイイルミーゼ
タ→???→???→ソ,タマゲタケケムッソ
タ→???→???→テ,タツベイイシツブテ
タ→???→???→ヌ,タツベイイイネイヌ
タ→???→???→バ,タツベイイダイナキバ
タ→???→???→ビ,タテトプススナヘビ
タ→???→???→ピ,タテトプススコルピ
タ→???→???→ブ,タツベイイオルブ
タ→???→???→メ,タテトプススバメ
タ→???→???→モ,タマザラシシズクモ
タ→???→???→ユ,タブンネネマシュ
タ→???→???→ワ,タテトプススナノケガワ
ダ→???→???→ゲ,ダグトリオオーロンゲ
ダ→???→???→ジ,ダルマッカカプサイジ
ダ→???→???→ズ,ダルマッカカゲボウズ
ダ→???→???→ゼ,ダークライイルミーゼ
ダ→???→???→デ,ダクママルヤクデ
ダ→???→???→ニ,ダクママケンカニ
ダ→???→???→ヌ,ダークライイイネイヌ
ダ→???→???→ネ,ダクママネネ
ダ→???→???→バ,ダークライイダイナキバ
ダ→???→???→ビ,ダストダススナヘビ
ダ→???→???→ブ,ダークライイオルブ
ダ→???→???→レ,ダルマッカカプ・レヒレ
チ→???→???→ウ,チラーミィイダイトウ
チ→???→???→ガ,チルットトドゼルガ
チ→???→???→ケ,チコリータタマゲタケ
チ→???→???→ゲ,チラチーノノノクラゲ
チ→???→???→ゴ,チョボマキキバゴ
チ→???→???→サ,チョボマキキノガッサ
チ→???→???→ゼ,チラーミィイルミーゼ
チ→???→???→テ,チラーミィイシツブテ
チ→???→???→ヌ,チラーミィイイネイヌ
チ→???→???→ノ,チョンチーチラチーノ
チ→???→???→ヒ,チョロネココアルヒー
チ→???→???→フ,チョロネココジョフー
チ→???→???→ポ,チョロネココオリッポ
ツ→???→???→イ,ツツケララクライ
ツ→???→???→ケ,ツンベアーアラブルタケ
ツ→???→???→コ,ツンベアーアママイコ
ツ→???→???→チ,ツボツボボチ
ツ→???→???→ツ,ツンベアーアリゲイツ
ツ→???→???→デ,ツタージャヤクデ
ツ→???→???→ヌ,ツンベアーアシレーヌ
ツ→???→???→ネ,ツンデツンデデデンネ
ツ→???→???→ノ,ツタージャヤルキモノ
ツ→???→???→プ,ツタージャヤナップ
ツ→???→???→ボ,ツンベアーアーボ
ツ→???→???→ミ,ツタージャヤミラミ
ツ→???→???→モ,ツンベアーアチャモ
ツ→???→???→ユ,ツンベアーアップリュー
ツ→???→???→ヨ,ツンベアーアマージョ
ツ→???→???→レ,ツボツボボクレー
テ→???→???→ガ,テツノコウベベロリンガ
テ→???→???→ダ,テラパゴスストリンダー
テ→???→???→バ,テツノコウベベロバー
テ→???→???→パ,テラパゴススリーパー
テ→???→???→ビ,テラパゴススナヘビ
テ→???→???→ピ,テラパゴススコルピ
テ→???→???→ワ,テラパゴススナノケガワ
デ→???→???→シ,デリバードドデカバシ
デ→???→???→ジ,デンチュララグラージ
デ→???→???→タ,デンチュララッタ
デ→???→???→デ,デリバードドヒドイデ
デ→???→???→ニ,ディアルガガケガニ
デ→???→???→ネ,デンジュモククスネ
デ→???→???→ブ,デンジュモククラブ
デ→???→???→ヤ,デリバードドラメシヤ
ト→???→???→ガ,トサキントトドゼルガ
ト→???→???→ゲ,トドゼルガガマゲロゲ
ト→???→???→コ,トドロクツキキノココ
ト→???→???→ゴ,トドロクツキキバゴ
ト→???→???→サ,トドロクツキキノガッサ
ト→???→???→シ,トゲピーピクシー
ト→???→???→ジ,トドグラーラグラージ
ト→???→???→タ,トドグラーラッタ
ト→???→???→ド,トドグラーラムパルド
ト→???→???→ニ,トドゼルガガケガニ
ト→???→???→ネ,トゲチッククスネ
ト→???→???→ブ,トゲチッククラブ
ト→???→???→ム,トドロクツキキュレム
ト→???→???→モ,トゲチッククズモー
ド→???→???→ケ,ドレディアアラブルタケ
ド→???→???→ゴ,ドデカバシシュバルゴ
ド→???→???→ヌ,ドレディアアシレーヌ
ド→???→???→ヒ,ドロバンココアルヒー
ド→???→???→ポ,ドロバンココオリッポ
ド→???→???→ユ,ドレディアアップリュー
ド→???→???→レ,ドロバンココレクレー
ナ→???→???→ク,ナットレイイワーク
ナ→???→???→サ,ナゲキキノガッサ
ナ→???→???→ゼ,ナットレイイルミーゼ
ナ→???→???→タ,ナックラーラッタ
ナ→???→???→チ,ナミイルカカミツオロチ
